address,yearbuilt,numunits,stories,longitude,latitude,grandcentralwalkingdist,centralparkwalkingdist,closest_pre,closest_post,zipcode,group
1408 second avenue,1967,235,37,-73.957207,40.769611,1.755378,0.84693104,0.50393331,0.081399828,10021,Second Ave
141 east 88th street,1927,69,12,-73.954323,40.780769,2.2767098,0.41321287,0.10190513,0.10190513,10128,Lexington Ave
1411 second avenue,1910,6,4,-73.957779,40.769909,1.7516497,0.66051924,0.38835797,0.091341794,,Second Ave
142 east 71st street,1927,42,11,-73.962471,40.769531,1.4018168,0.40389228,0.17149888,0.17149888,10021,Lexington Ave
1420 york avenue,1956,95,6,-73.951881,40.76907,2.1263375,0.84133869,0.56855607,0.44800973,10021,York Ave
1435 lexington avenue,1925,70,11,-73.951851,40.784382,2.533958,0.42812583,0.11246847,0.11246847,10128,Lexington Ave
1438 third avenue,1985,94,31,-73.956429,40.776009,2.0269179,0.51076841,0.30882224,0.23052928,10028,Lexington Ave
144 east 84th street,1962,95,14,-73.956352,40.777988,2.0716567,0.378416,0.11246847,0.11246847,10028,Lexington Ave
1441 third avenue,1985,61,24,-73.955856,40.7757,2.0169759,0.5014478,0.30633676,0.23984988,10028,Second Ave
145 east 69th street,1910,,,-73.96312,40.768299,1.3166888,0.32684207,0.086370811,0.086370811,10021,Lexington Ave
145 east 76th street,1999,20,15,-73.96003,40.772991,1.6634148,0.32746342,0.077671595,0.077671595,10021,Lexington Ave
145 east 84th street,1963,96,16,-73.95623,40.77816,2.067307,0.37406638,0.10811885,0.10811885,10028,Lexington Ave
1461 1 avenue,1963,210,,-73.953979,40.770603,2.0262964,0.69655883,0.39208621,0.35604659,10021,Second Ave
1474 third avenue,1981,31,17,-73.955429,40.77721,2.1195023,0.48591349,0.21623771,0.17709123,10028,Lexington Ave
148 east 83rd street,1910,10,5,-73.956627,40.77729,2.0300248,0.43682504,0.1708775,0.1708775,10028,Lexington Ave
148 east 84th street,1930,17,5,-73.956093,40.777882,2.0847056,0.39146483,0.12551729,0.12551729,10028,Lexington Ave
149 east 62nd street,1915,12,4,-73.966232,40.763988,0.97182697,0.37406638,0.085128061,0.085128061,10065,Lexington Ave
149 east 73rd street,1925,24,11,-73.961449,40.771111,1.5068289,0.47100052,0.22120869,0.22120869,10021,Lexington Ave
15 east 69th street,1926,48,18,-73.96701,40.77002,1.318553,0.078292966,0.25786969,0.25786969,10021,Madison Ave
15 east 82nd street,1950,2,6,-73.961143,40.77858,1.9883927,0.21437359,0.41072738,0.41072738,,Madison Ave
15 east 91st street,1948,43,16,-73.956627,40.784222,2.4419949,0.18330495,0.40264952,0.40264952,10128,Madison Ave
150 east 61st street,1960,131,16,-73.967041,40.763279,0.91776752,0.31814283,0.082642578,0.082642578,10065,Lexington Ave
150 east 69th street,1959,378,28,-73.962387,40.767849,1.3458934,0.35604659,0.11495396,0.11495396,10065,Lexington Ave
150 east 72nd street,1914,24,12,-73.962082,40.770199,1.4577404,0.45919445,0.22680105,0.19759654,10021,Lexington Ave
150 east 73rd street,1923,30,11,-73.961502,40.77092,1.5130426,0.47721425,0.22742242,0.22742242,10021,Lexington Ave
150 east 77th street,1959,97,16,-73.959686,40.773472,1.7156101,0.35666797,0.006213727,0.006213727,10021,Lexington Ave
150 east 78th street,1920,4,4,-73.95919,40.774071,1.7615917,0.36909541,0.074564725,0.074564725,10075,Lexington Ave
150 east 83rd street,1920,20,5,-73.956551,40.777248,2.0343742,0.44117466,0.17584848,0.17584848,10028,Lexington Ave
150 east 85th street,1986,102,15,-73.955879,40.77861,2.1195023,0.32684207,0.059651781,0.059651781,10028,Lexington Ave
150 east 93rd street,1923,63,11,-73.95208,40.783718,2.5215306,0.46727231,0.15223633,0.15223633,10128,Lexington Ave
150 east end avenue,1899,1,3,-73.944679,40.775471,2.8222749,1.0122162,0.66735435,0.43061131,10028,York Ave
151 east 78th street,2014,14,16,-73.958992,40.774231,1.7628344,0.37033814,0.075807475,0.075807475,10075,Lexington Ave
151 east 79th street,1925,16,15,-73.958611,40.775002,1.813787,0.32062835,0.12738141,0.12738141,10075,Lexington Ave
151 east 83rd street,1929,77,11,-73.956352,40.777382,2.0480444,0.45484483,0.18889731,0.18889731,10028,Lexington Ave
151 east 85th street,2007,118,18,-73.955772,40.778839,2.1244733,0.33119166,0.064622767,0.064622767,10028,Lexington Ave
151 east 86th   street,2007,,,-73.955109,40.779327,2.1866107,0.35853207,0.017398437,0.017398437,10028,Lexington Ave
1511 lexington avenue,1910,8,5,-73.950058,40.786831,2.7408752,0.3398909,0.090099044,0.090099044,,Lexington Ave
1513 lexington avenue,1910,8,5,-73.95002,40.786888,2.7452247,0.34486187,0.094448656,0.094448656,,Lexington Ave
152 east 83rd street,1910,20,5,-73.956467,40.77721,2.0393453,0.44614562,0.18081947,0.18081947,10028,Lexington Ave
152 east 94th street,1938,105,13,-73.951172,40.784161,2.5886388,0.43558228,0.11992494,0.11992494,10128,Lexington Ave
153 east 87th street,1928,42,11,-73.95472,40.780121,2.2294853,0.40451366,0.055302173,0.055302173,10128,Lexington Ave
155 east 72nd street,1929,39,16,-73.961472,40.770279,1.4788671,0.48094249,0.24854909,0.17646986,10021,Lexington Ave
155 east 73rd street,1923,32,9,-73.961281,40.771042,1.5173923,0.48156387,0.23177204,0.23177204,10021,Lexington Ave
155 east 76th street,1959,116,13,-73.959381,40.77272,1.6851629,0.34921148,0.099419639,0.099419639,10021,Lexington Ave
155 east 79th street,2014,7,14,-73.958389,40.775051,1.8218648,0.32870618,0.13545926,0.13545926,,Lexington Ave
155 east 86th   street,1930,,,-73.955086,40.779308,2.1884749,0.36039618,0.015534318,0.015534318,10028,Lexington Ave
155 east 91st street,1927,46,9,-73.952637,40.782539,2.4426162,0.38028011,0.26781166,0.26781166,10128,Lexington Ave
155 east 93rd street,1928,74,12,-73.952148,40.783958,2.5265017,0.47286466,0.1572073,0.1572073,10128,Lexington Ave
156 east 79th street,1917,60,14,-73.958504,40.77462,1.8280786,0.34299776,0.14167298,0.14167298,10075,Lexington Ave
1567 e 79th st,1917,60,,-73.955742,40.773632,1.98715,0.49709818,0.27588949,0.26781166,10075,Second Ave
157 east 72nd street,1924,139,15,-73.961258,40.770199,1.5018579,0.50331193,0.27091852,0.15347907,10021,Lexington Ave
157 east 74th street,1986,19,11,-73.960693,40.771629,1.5745585,0.43868914,0.18889731,0.18889731,10021,Lexington Ave
157 east 75th street,1910,12,5,-73.960243,40.77227,1.6261325,0.39022207,0.14105161,0.14105161,10021,Lexington Ave
157 east 84th street,1925,8,6,-73.955833,40.777988,2.0902979,0.39705718,0.13110964,0.13110964,10028,Lexington Ave
158 east 100th street,2004,12,6,-73.948578,40.787979,2.8993251,0.43744642,0.19635378,0.19635378,10029,Lexington Ave
1595 lexington ave,2007,,,-73.948441,40.78923,2.9266655,0.33740538,0.096934147,0.096934147,10029,Lexington Ave
1595 lexington avenue,2007,,,-73.948441,40.78923,2.9266655,0.33740538,0.096934147,0.096934147,10029,Lexington Ave
16 east 63rd street,1920,5,4,-73.97023,40.766239,1.0289932,0.16714926,0.21437359,0.21437359,10065,Madison Ave
16 east 80th street,1925,19,5,-73.962311,40.77718,1.8945655,0.10625474,0.37530914,0.37530914,10075,Madison Ave
16 east 84th street,1900,8,6,-73.960388,40.77969,2.0896766,0.13421652,0.31255049,0.31255049,10028,Madison Ave
16 east 96th street,1906,40,6,-73.954597,40.787251,2.6886799,0.085128061,0.20381026,0.20381026,10128,Madison Ave
16 east 98th street,1925,53,10,-73.953819,40.788681,2.8005269,0.10376925,0.31565735,0.31565735,10029,Madison Ave
160 east 65th street,1968,180,31,-73.964394,40.765121,1.1656953,0.45670897,0.1665279,0.1665279,10065,Lexington Ave
160 east 67th street,1975,,,-73.963844,40.766853,1.2328035,0.35853207,0.10128376,0.10128376,10065,Lexington Ave
160 east 72nd street,1928,20,15,-73.961853,40.7701,1.477003,0.478457,0.2460636,0.17833398,10021,Lexington Ave
160 east 91st street,1941,125,8,-73.952744,40.78236,2.4432375,0.38090149,0.26843303,0.26843303,10128,Lexington Ave
1601 third avenue,1975,304,42,-73.951752,40.781509,2.4898405,0.42688307,0.31317186,0.30882224,10128,Second Ave
161 east 75th street,1910,12,,-73.960213,40.77216,1.628618,0.39270756,0.14415847,0.14415847,10021,Lexington Ave
161 east 79th street,1915,24,12,-73.958321,40.774879,1.8249717,0.3398909,0.13856612,0.13856612,10075,Lexington Ave
161 east 88th street,1937,42,6,-73.953773,40.780548,2.3083997,0.44552425,0.13421652,0.13421652,10128,Lexington Ave
161 east 90th street,1926,27,9,-73.953041,40.781879,2.3991201,0.33864814,0.22493693,0.22493693,10128,Lexington Ave
161 east 91st street,1941,48,6,-73.95237,40.782421,2.4562864,0.39395031,0.28148186,0.28148186,10128,Lexington Ave
1617 york avenue,1910,20,6,-73.947731,40.775429,2.6166005,0.82394028,0.53935152,0.30260852,,York Ave
1619 third avenue,1975,270,34,-73.950706,40.781792,2.4898405,0.42688307,0.31317186,0.30882224,10128,Second Ave
162 east 80th street,1926,26,9,-73.95784,40.775299,1.8883518,0.373445,0.20194614,0.20194614,10075,Lexington Ave
162 east 91st street,1941,22,5,-73.95253,40.782269,2.4575291,0.39519307,0.28272459,0.28272459,10128,Lexington Ave
1623 third avenue,1975,384,42,-73.950706,40.781792,2.5414145,0.478457,0.29763755,0.23798576,10128,Second Ave
1628 second avenue,1915,14,6,-73.952362,40.776711,2.302186,0.57104152,0.29950166,0.043496091,10028,Second Ave
163 east 71st street,1910,2,5,-73.962112,40.769619,1.418594,0.42004797,0.18765457,0.18765457,,Lexington Ave
163 east 81st street,1927,42,9,-73.956848,40.775921,1.9635378,0.44863111,0.27651086,0.27651086,10028,Lexington Ave
164 east 72nd street,1926,42,15,-73.961617,40.77002,1.4801098,0.48156387,0.24917047,0.17522711,10021,Lexington Ave
1641 third avenue,1975,317,,-73.951134,40.782372,2.5836678,0.52071035,0.31317186,0.20940261,10128,Second Ave
165 east 60th street,1930,21,6,-73.966743,40.76255,0.89912635,0.39705718,0.047224328,0.047224328,10065,Lexington Ave
165 east 72nd street,1960,183,20,-73.9608,40.77,1.5130426,0.51449662,0.28210321,0.14291573,10021,Lexington Ave
165 east 76th street,1960,183,,-73.959618,40.772774,1.6851629,0.34921148,0.099419639,0.099419639,10021,Lexington Ave
166 east 61st street,1963,165,20,-73.966293,40.762939,0.95753539,0.35853207,0.070215121,0.070215121,10065,Lexington Ave
166 east 63rd street,1959,157,20,-73.965439,40.764229,1.0693824,0.46913642,0.083263949,0.083263949,10065,Lexington Ave
166 east 78th street,1920,10,5,-73.958679,40.773869,1.7914176,0.39892131,0.10501199,0.10501199,10075,Lexington Ave
166 east 92nd street,1927,41,6,-73.951851,40.782799,2.5184238,0.45795169,0.24854909,0.24854909,10128,Lexington Ave
166 east 96th street,1928,65,16,-73.950279,40.785419,2.7060783,0.34734735,0.055302173,0.055302173,10128,Lexington Ave
167 east 61st street,1983,176,39,-73.965889,40.763008,0.96188498,0.36288169,0.065865509,0.065865509,10065,Lexington Ave
167 east 67th street,1960,96,20,-73.963173,40.766781,1.2582798,0.38400835,0.12676004,0.12676004,10065,Lexington Ave
167 east 82nd street,1929,40,10,-73.956413,40.776569,2.0126264,0.49771956,0.25352007,0.24419948,10028,Lexington Ave
168 east 74th street,1926,31,9,-73.960327,40.771252,1.6025203,0.46665093,0.21685909,0.21685909,10021,Lexington Ave
168 east 90th street,1920,10,5,-73.952904,40.781582,2.4134116,0.35293972,0.2392285,0.2392285,10128,Lexington Ave
169 east 69th street,1961,60,20,-73.962242,40.768028,1.3632917,0.373445,0.1323524,0.1323524,10021,Lexington Ave
169 east 78th street,1928,38,10,-73.958519,40.77401,1.7951459,0.40264952,0.10874023,0.10874023,10075,Lexington Ave
17 east 63rd street,1905,5,5,-73.970001,40.766369,1.0227796,0.173363,0.20815986,0.20815986,10065,Madison Ave
17 east 73rd street,1920,3,5,-73.965439,40.772789,1.5329266,0.23177204,0.41445562,0.41445562,10021,Madison Ave
17 east 80th street,1920,11,7,-73.962143,40.777321,1.8908372,0.10998297,0.3715809,0.3715809,10028,Madison Ave
17 east 84th street,1925,21,9,-73.960136,40.7798,2.095269,0.12862416,0.31814283,0.31814283,10028,Madison Ave
17 east 89th street,1925,60,12,-73.95771,40.783031,2.3357401,0.13173102,0.35045421,0.35045421,10128,Madison Ave
17 east 95th street,1920,13,6,-73.955208,40.786888,2.6476693,0.12427454,0.26905438,0.26905438,10128,Madison Ave
17 east 96th street,1923,61,15,-73.954437,40.78751,2.682466,0.091341794,0.19759654,0.19759654,10029,Madison Ave
17 east 97th street,1904,24,6,-73.95388,40.788101,2.739011,0.098176889,0.25600556,0.25600556,10029,Madison Ave
170 east 77th street,1942,54,10,-73.958946,40.773151,1.7423291,0.38338697,0.032311384,0.032311384,10021,Lexington Ave
170 east 78th street,1927,34,9,-73.958519,40.7738,1.798874,0.40637776,0.1118471,0.1118471,10075,Lexington Ave
170 east 79th street,1927,26,15,-73.958267,40.774529,1.8386419,0.35356107,0.15223633,0.15223633,10075,Lexington Ave
170 east 87th street,1991,234,28,-73.954071,40.77964,2.2798166,0.45422348,0.10501199,0.10501199,10028,Lexington Ave
170 east 88th street,1980,39,5,-73.953758,40.780331,2.3195844,0.45670897,0.14540122,0.14540122,10128,Lexington Ave
170 east 90th street,1920,10,5,-73.952812,40.78154,2.419004,0.35853207,0.24482086,0.24482086,10128,Lexington Ave
170 east 92nd street,1920,20,5,-73.951691,40.78273,2.5289869,0.46789366,0.25911242,0.24979185,10128,Lexington Ave
170 east 94th street,1928,42,6,-73.950958,40.784069,2.6153579,0.46230131,0.14664397,0.14664397,10128,Lexington Ave
170 east end avenue,2008,96,19,-73.94426,40.77602,2.8663924,1.0575764,0.7083649,0.47410738,10128,York Ave
171 east 84th street,1987,219,36,-73.95533,40.777828,2.1213665,0.42812583,0.16217828,0.16217828,10028,Lexington Ave
172 east 90th street,1920,10,5,-73.952713,40.781502,2.4196255,0.35853207,0.24482086,0.24482086,10128,Lexington Ave
1724 second avenue,1910,26,8,-73.949913,40.780079,2.5662694,0.55177897,0.39022207,0.19076143,10128,Second Ave
1725 york avenue,1971,259,33,-73.945686,40.778271,2.8334596,0.83636773,0.65927649,0.42688307,10128,York Ave
173 east 74th street,1915,15,5,-73.960098,40.771358,1.6105981,0.47472876,0.22493693,0.22493693,10021,Lexington Ave
174 east 74th street,1966,120,20,-73.960007,40.771118,1.6174332,0.48156387,0.23177204,0.23177204,10021,Lexington Ave
175 east 62nd street,1963,70,20,-73.965408,40.76363,1.0171871,0.41880521,0.11060435,0.11060435,10065,Lexington Ave
175 east 73rd street,1910,4,3,-73.960709,40.770821,1.5515677,0.51573938,0.26594752,0.21126673,10021,Lexington Ave
175 east 74th street,1963,96,21,-73.959877,40.771271,1.6192974,0.483428,0.23363616,0.23363616,10021,Lexington Ave
175 east 79th street,1928,62,15,-73.957977,40.774738,1.8473412,0.35356107,0.16031417,0.16031417,10075,Lexington Ave
175 east 93rd street,1928,16,4,-73.951683,40.78376,2.5445213,0.49088445,0.17522711,0.17522711,10128,Lexington Ave
175 east 94th street,1950,2,3,-73.950844,40.784248,2.6159792,0.46292269,0.14726534,0.14726534,,Lexington Ave
175 east 96 street,1920,,,-73.949852,40.785446,2.724098,0.36536717,0.054059427,0.054059427,10029,Lexington Ave
176 east 62 street,1963,70,,-73.965797,40.763596,1.0060024,0.40762052,0.11930356,0.11930356,10065,Lexington Ave
176 east 71st street,1962,95,20,-73.961517,40.769112,1.450284,0.45173797,0.21934457,0.20629574,10021,Lexington Ave
176 east 77th street,1957,165,17,-73.958542,40.77298,1.7715337,0.41259149,0.061515901,0.061515901,10021,Lexington Ave
1760 second avenue,2000,140,33,-73.948921,40.78138,2.6700387,0.60956663,0.43371817,0.12613867,10128,Second Ave
177 east 77th street,1942,57,12,-73.958656,40.773258,1.7634559,0.40389228,0.053438056,0.053438056,10075,Lexington Ave
177 east 79th street,1980,15,19,-73.957809,40.77467,1.8610114,0.36723128,0.17398436,0.17398436,10075,Lexington Ave
177 east 93rd street,1920,16,4,-73.951576,40.783718,2.548871,0.49523407,0.18019809,0.18019809,10128,Lexington Ave
178 east 80th street,1973,148,25,-73.957413,40.775051,1.9194204,0.40451366,0.2323934,0.2323934,10075,Lexington Ave
179 east 78th street,1900,14,5,-73.958252,40.773899,1.8100588,0.41756248,0.12365317,0.12365317,10075,Lexington Ave
179 east 79th street,1928,59,15,-73.95768,40.774609,1.8697106,0.37593052,0.18268359,0.18268359,10075,Lexington Ave
1790 third avenue,2017,52,13,-73.947929,40.78743,2.9297724,0.52816683,0.25849107,0.25849107,,Lexington Ave
18 east 63rd street,1920,10,4,-73.970154,40.766209,1.0258864,0.17025612,0.21064536,0.21064536,10065,Madison Ave
18 east 77th street,1910,5,5,-73.963638,40.77512,1.7274162,0.11495396,0.20815986,0.20815986,10021,Madison Ave
18 east 81st street,1930,10,5,-73.961823,40.77779,1.9411684,0.15907142,0.42191207,0.42191207,10028,Madison Ave
18 east 84th street,1910,26,6,-73.960297,40.779621,2.0815988,0.14229436,0.30447266,0.30447266,10028,Madison Ave
180 east 79th street,1930,130,18,-73.958153,40.774471,1.8591472,0.37406638,0.17274162,0.17274162,10075,Lexington Ave
180 east 88 street,2019,48,50,-73.953529,40.780231,2.3301477,0.46665093,0.15534319,0.15534319,10128,Lexington Ave
180 east 88th street,2019,48,50,-73.953529,40.780231,2.3301477,0.46665093,0.15534319,0.15534319,10128,Lexington Ave
180 east 93rd street,2009,7,7,-73.95137,40.78339,2.5712404,0.51760352,0.20256752,0.20256752,10128,Lexington Ave
180 east end avenue,1960,150,21,-73.944008,40.77673,2.9142382,1.0165658,0.75621063,0.52195311,10128,York Ave
181 east 65th street,2000,93,32,-73.964073,40.765511,1.1700449,0.46167994,0.1708775,0.1708775,10065,Lexington Ave
181 east 73rd street,1958,116,19,-73.960358,40.770641,1.5776653,0.54183704,0.29204518,0.18454771,10021,Lexington Ave
181 east 90th street,2004,84,30,-73.952248,40.781689,2.4426162,0.38152286,0.26781166,0.26781166,10128,Lexington Ave
181 east 93rd street,1928,41,6,-73.951302,40.783611,2.5662694,0.51263249,0.19759654,0.19759654,10128,Lexington Ave
1810 3 avenue,2005,,,-73.947166,40.788193,2.9931524,0.4647868,0.2118881,0.2118881,10029,Lexington Ave
1810 third avenue,2005,,,-73.947166,40.788193,2.9931524,0.4647868,0.2118881,0.2118881,10029,Lexington Ave
184 east 64th street,2017,5,6,-73.964867,40.76482,1.1060435,0.50766152,0.10687611,0.10687611,,Lexington Ave
186 east 75th street,1920,4,4,-73.96003,40.771931,1.6441523,0.4082419,0.15969279,0.15969279,10021,Lexington Ave
1865 2 avenue,1987,261,,-73.947006,40.784412,2.902432,0.54245842,0.23115066,0.030447263,10029,Second Ave
188 east 64th street,1987,196,42,-73.9646,40.764671,1.1159854,0.51760352,0.11681808,0.11681808,10065,Lexington Ave
188 east 70th street,1986,97,31,-73.961899,40.768471,1.4148657,0.41694111,0.18392633,0.18392633,10021,Lexington Ave
188 east 75th street,1924,24,6,-73.95993,40.771912,1.6516087,0.41569835,0.1665279,0.1665279,10021,Lexington Ave
188 east 76th street,1996,73,31,-73.959137,40.772388,1.7162315,0.38028011,0.13048828,0.13048828,10021,Lexington Ave
188 east 78th street,2000,72,32,-73.960709,40.770821,1.8293214,0.43682504,0.14229436,0.14229436,10075,Lexington Ave
19   east 79 street,1920,,,-73.962769,40.776611,1.8398846,0.070215121,0.32124969,0.32124969,10075,Madison Ave
19 east 72nd street,1937,34,17,-73.965691,40.77206,1.465197,0.22866517,0.40451366,0.40451366,10021,Madison Ave
19 east 73rd street,1925,5,6,-73.96537,40.772758,1.5291983,0.23550026,0.41072738,0.41072738,10021,Madison Ave
19 east 88th street,1937,98,16,-73.958153,40.782398,2.2835448,0.18516907,0.29763755,0.29763755,10128,Madison Ave
19 east 95th street,1921,13,6,-73.955101,40.786839,2.6476693,0.12427454,0.26905438,0.26905438,10128,Madison Ave
190 east 72nd street,1962,125,34,-73.961197,40.769798,1.5149068,0.51698214,0.28396735,0.14043024,10021,Lexington Ave
194 east 101 street,2005,,,-73.947395,40.788513,2.9863174,0.42564031,0.18454771,0.18454771,10029,Lexington Ave
1949 first avenue,1925,23,6,-73.943108,40.78577,3.2230604,0.76242435,0.49896231,0.35418245,,Second Ave
196 east 75th street,1961,136,20,-73.959541,40.77174,1.6708713,0.43558228,0.18641183,0.18641183,10021,Lexington Ave
2 east 67th street,1928,23,12,-73.96907,40.769032,1.2707072,0.043496091,0.30882224,0.30882224,10065,Madison Ave
2 east 80th street,1925,8,6,-73.962769,40.777382,1.9231486,0.078292966,0.4032709,0.4032709,10075,Madison Ave
2 east 88th street,1930,13,14,-73.959229,40.782639,2.3413324,0.12676004,0.35542521,0.35542521,10128,Madison Ave
2 east end avenue,1910,57,10,-73.948303,40.770802,2.4662285,0.97617656,0.75496787,0.62447959,10075,York Ave
20 east 68th street,1955,83,15,-73.967621,40.769249,1.2601439,0.13732338,0.19946066,0.19946066,10065,Madison Ave
20 east 74th street,1947,102,16,-73.964851,40.773151,1.5683448,0.19573241,0.34983286,0.34983286,10021,Madison Ave
20 east 84th street,1910,25,6,-73.960213,40.779621,2.0815988,0.14229436,0.30447266,0.30447266,10028,Madison Ave
20 east 88th street,1923,18,5,-73.958389,40.782269,2.2928655,0.17584848,0.30695814,0.30695814,10128,Madison Ave
20 east end avenue,2017,41,18,-73.94783,40.77145,2.5165596,1.0035169,0.80592042,0.57476979,10028,York Ave
200 east 61st street,1986,218,43,-73.965729,40.76268,1.0066239,0.40699914,0.056544919,0.056544919,10065,Second Ave
200 east 62nd street,1967,113,30,-73.964813,40.763081,1.0625473,0.46230131,0.1118471,0.1118471,10065,Second Ave
200 east 66th street,1951,497,20,-73.963463,40.765781,1.2601439,0.46851504,0.22493693,0.22493693,10065,Second Ave
200 east 69th street,1991,277,57,-73.961731,40.76759,1.4067879,0.41569835,0.1572073,0.12054631,10065,Second Ave
200 east 74th street,1962,153,21,-73.959473,40.770889,1.6659003,0.52692407,0.25352007,0.22555831,10021,Second Ave
200 east 78th street,1965,126,21,-73.957642,40.77343,1.818758,0.45857307,0.10811885,0.10811885,10075,Second Ave
200 east 79th street,2011,45,19,-73.9571,40.774021,1.9038861,0.41818386,0.19324692,0.19324692,10075,Second Ave
200 east 84th street,1961,126,18,-73.954712,40.777302,2.1716976,0.47783563,0.2075385,0.136702,10028,Second Ave
200 east 89th street,1987,253,45,-73.952164,40.780418,2.4227324,0.45857307,0.24544223,0.24544223,10128,Second Ave
200 east 90th street,1980,179,28,-73.951859,40.781158,2.4774132,0.41445562,0.30136576,0.30136576,10128,Second Ave
200 east 94th street,1986,287,31,-73.949867,40.783611,2.6308923,0.52319586,0.20878124,0.14788671,10128,Second Ave
200 east 95th street,2017,83,30,-73.949638,40.78434,2.8222749,0.56855607,0.25476283,0.031068636,,Second Ave
200 east end avenue,1952,189,16,-73.94352,40.77734,2.9732685,0.95691401,0.81027007,0.58098352,10128,York Ave
200-210 east 65th street,1987,295,50,-73.963547,40.764778,1.2178906,0.5082829,0.21748045,0.21748045,10065,Second Ave
201 east 62nd street,1963,69,20,-73.964882,40.763401,1.0600619,0.45981583,0.1093616,0.1093616,10065,Second Ave
201 east 66th street,1961,256,21,-73.96302,40.765888,1.2545515,0.44552425,0.20132476,0.20132476,10065,Second Ave
201 east 77th street,1965,90,19,-73.957909,40.77293,1.8113015,0.45111662,0.10066238,0.10066238,10075,Second Ave
201 east 79th street,1963,168,20,-73.956963,40.774311,1.9113425,0.41569835,0.20008202,0.20008202,10075,Second Ave
201 east 80th street,1926,100,24,-73.956322,40.774872,1.9747225,0.45795169,0.26346204,0.26346204,10028,Second Ave
201 east 83rd street,1964,115,18,-73.955078,40.776852,2.1176383,0.52381724,0.25352007,0.13980886,10028,Second Ave
203 east 72nd street,1966,149,27,-73.959969,40.76965,1.5664806,0.56731331,0.3169001,0.089477673,10021,Second Ave
203 east 89th street,1920,20,5,-73.951973,40.780609,2.4401307,0.47721425,0.26284066,0.26284066,10128,Second Ave
204 east 73rd   street,1920,10,,-73.959534,40.770153,1.6273752,0.59092546,0.31752148,0.15969279,10021,Second Ave
204 east 90th street,1920,30,5,-73.95163,40.781078,2.4954329,0.43247542,0.31876421,0.3032299,10128,Second Ave
205 east 59th street,2003,42,25,-73.966042,40.761501,0.91341794,0.483428,0.055302173,0.055302173,,Second Ave
205 east 63rd street,1963,131,20,-73.964172,40.763939,1.108529,0.50890428,0.1230318,0.1230318,10065,Second Ave
205 east 68th street,1991,95,8,-73.9618,40.767071,1.4067879,0.41569835,0.1572073,0.12054631,10065,Second Ave
205 east 69th street,1929,72,11,-73.961288,40.76762,1.4291573,0.43806779,0.17895535,0.098176889,10021,Second Ave
205 east 76th street,1995,6,6,-73.958214,40.772228,1.767184,0.42936856,0.15596455,0.15596455,10021,Second Ave
205 east 77th street,1962,113,14,-73.95771,40.772861,1.8286999,0.46851504,0.11743945,0.11743945,10075,Second Ave
205 east 78th street,1931,218,20,-73.957352,40.773521,1.8622541,0.46789366,0.15099357,0.15099357,10075,Second Ave
205 east 85th street,2007,165,20,-73.953827,40.777969,2.2363205,0.441796,0.17212024,0.16217828,10028,Second Ave
205 east 88th street,1920,20,5,-73.952431,40.77998,2.3916636,0.52692407,0.21561635,0.21561635,10128,Second Ave
206 east 61st street,1910,1,4,-73.965233,40.762501,1.0190513,0.41942659,0.068351001,0.068351001,,Second Ave
206 east 73rd street,2006,10,7,-73.959541,40.7701,1.6267538,0.59030408,0.31627873,0.16093554,10021,Second Ave
206 east 90th street,1920,30,5,-73.951561,40.781029,2.4954329,0.43247542,0.31876421,0.3032299,10128,Second Ave
206 east 95th street,1989,43,18,-73.949348,40.784161,2.7377682,0.48404935,0.17025612,0.11557533,10128,Second Ave
207 east 74th street,1963,120,13,-73.958794,40.77084,1.6957262,0.55737132,0.28396735,0.19511104,10021,Second Ave
207 east 79th street,2016,,,-73.95668,40.774181,1.8895944,0.39581442,0.19697516,0.19697516,,Second Ave
207 east 88th street,1920,20,5,-73.952347,40.779949,2.3960133,0.53127366,0.21996595,0.21126673,10128,Second Ave
208 east 70th street,1970,36,6,-73.960876,40.76804,1.4794885,0.48032114,0.22928654,0.14540122,10021,Second Ave
208 east 82nd street,1920,35,6,-73.955353,40.775921,2.0859482,0.56979883,0.32124969,0.17212024,10028,Second Ave
208 east 84th street,1910,80,5,-73.954323,40.777142,2.1984167,0.50455469,0.23363616,0.10998297,10028,Second Ave
208 east 90th street,1920,10,5,-73.951477,40.780998,2.4954329,0.43247542,0.31876421,0.3032299,10128,Second Ave
209 east 88th street,1920,20,5,-73.952271,40.779911,2.4009843,0.53624469,0.22493693,0.20629574,10128,Second Ave
21 east 61st street,1951,68,17,-73.970459,40.764938,0.92460263,0.073321983,0.25476283,0.25476283,10065,Madison Ave
21 east 66th street,1941,19,11,-73.968483,40.768188,1.1607243,0.1230318,0.29577342,0.29577342,10065,Madison Ave
21 east 79th street,1930,12,14,-73.962563,40.776669,1.8373991,0.08388532,0.31752148,0.31752148,10075,Madison Ave
21 east 90th street,1927,50,14,-73.957169,40.783619,2.3804789,0.087613553,0.39457169,0.39457169,10128,Madison Ave
21 east 96th street,2005,9,13,-73.954239,40.787441,2.6774952,0.096312776,0.19262555,0.19262555,,Madison Ave
210 east 62nd street,1963,69,,-73.964584,40.763145,1.0780817,0.478457,0.12800278,0.12800278,10065,Second Ave
210 east 63rd street,1964,74,13,-73.96418,40.763691,1.1265488,0.52692407,0.14105161,0.14105161,10065,Second Ave
210 east 73rd street,1929,81,11,-73.959267,40.769981,1.6460164,0.60956663,0.33616266,0.14105161,10021,Second Ave
